date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,16.2,14.1,18.7,,,,22.6,,1017.2,
2022-01-02 00:00:00,18,15.5,21,,,,10.5,,1017.8,
2022-01-03 00:00:00,17.9,15.1,21.7,,,,11.7,,1014,
2022-01-04 00:00:00,18.4,15.9,21.6,,,,13.9,,1013.1,
2022-01-05 00:00:00,18,16.3,21.2,,,,17.5,,1015.8,
2022-01-06 00:00:00,18,15.7,21.2,,,,34,,1014.1,
2022-01-07 00:00:00,17.9,16,19.5,,,,63.9,,1013.2,
2022-01-08 00:00:00,20.5,17.1,24.9,,,,56.1,,1009.8,
2022-01-09 00:00:00,21.4,19,24,,,,28.7,,1008.5,
2022-01-10 00:00:00,18.8,16.7,21.7,,,,29.4,,1008.4,
2022-01-11 00:00:00,18,16.5,20.5,,,,19.1,,1014.4,
2022-01-12 00:00:00,17.7,15.4,20.6,,,,36.9,,1014.3,
2022-01-13 00:00:00,18.7,16.9,21,,,,65.6,,1011.9,
2022-01-14 00:00:00,21.3,17.9,25.8,,,,45.1,,1009.4,
2022-01-15 00:00:00,20.7,18.2,23.4,,,,25.3,,1009.1,
2022-01-16 00:00:00,18.7,16.3,21.9,,,,24.3,,1012.3,
2022-01-17 00:00:00,20.4,17.3,24.9,,,,11.4,,1015.1,
2022-01-18 00:00:00,18.3,16.8,20.2,,,,25.3,,1013.3,
2022-01-19 00:00:00,19.3,16.3,23.8,,,,9.1,,1017.6,
2022-01-20 00:00:00,19.1,16.6,22.6,,,,10.4,,1015.1,
2022-01-21 00:00:00,18.9,16.2,22.3,,,,41.8,,1016.8,
2022-01-22 00:00:00,23.2,18.4,27.9,,,,37.6,,1015.3,
2022-01-23 00:00:00,26,22,29,,,,14.3,,1014.9,
2022-01-24 00:00:00,19.8,17.9,22.3,,,,9.4,,1017,
2022-01-25 00:00:00,18.5,17.1,21.2,,,,18.3,,1016.6,
2022-01-26 00:00:00,17.9,16.2,20.7,,,,25,,1014.4,
2022-01-27 00:00:00,18.4,16.3,21.7,,,,17.8,,1012.9,
2022-01-28 00:00:00,18.9,16.9,22.7,,,,10.8,,1015.7,
2022-01-29 00:00:00,18.1,15.7,21.4,,,,39.3,,1014.2,
2022-01-30 00:00:00,18.2,16.1,21,,,,48.8,,1010.3,
2022-01-31 00:00:00,18.9,16.5,21.7,,,,49.4,,1008.6,
2022-02-01 00:00:00,20.8,18.8,24.8,,,,21.7,,1007.5,
2022-02-02 00:00:00,18.1,16.3,20.7,,,,30.2,,1007.5,
2022-02-03 00:00:00,16.8,15,18.7,,,,20.5,,1014,
2022-02-04 00:00:00,17.6,15.5,21.1,,,,23.6,,1020,
2022-02-05 00:00:00,18.5,15.4,22.1,,,,62.7,,1014.4,
2022-02-06 00:00:00,21.5,18.6,26,,,,25.7,,1012.1,
2022-02-07 00:00:00,21.1,18.9,24.5,,,,9.6,,1014.9,
2022-02-08 00:00:00,20.9,18.8,23.8,,,,12.7,,1012.5,
2022-02-09 00:00:00,20,18.2,23,,,,22.9,,1012.5,
2022-02-10 00:00:00,19.5,18,22.2,,,,13.6,,1014,
2022-02-11 00:00:00,20.6,17.2,25,,,,9.2,,1014.5,
2022-02-12 00:00:00,20.6,18.5,24,,,,15,,1012.6,
2022-02-13 00:00:00,21,18.7,24.7,,,,14.1,,1014.9,
2022-02-14 00:00:00,20.1,17.6,23.3,,,,58.7,,1012.1,
2022-02-15 00:00:00,21.9,19.6,25.3,,,,20.3,,1011.5,
2022-02-16 00:00:00,19.6,17.2,22.1,,,,13.6,,1019.1,
2022-02-17 00:00:00,18,15.9,21.3,,,,48.5,,1015.3,
2022-02-18 00:00:00,18.9,16.2,22.4,,,,54,,1010.2,
2022-02-19 00:00:00,18.9,17.7,20.2,,,,18.7,,1010.9,
2022-02-20 00:00:00,19.2,17.6,22.2,,,,17.3,,1015,
2022-02-21 00:00:00,18.7,17.1,21.2,,,,15.5,,1015.9,
2022-02-22 00:00:00,19.7,16.7,23.7,,,,9.2,,1015.6,
2022-02-23 00:00:00,19.6,17.6,22.7,,,,10.1,,1015.3,
2022-02-24 00:00:00,19.7,17.2,23.3,,,,15.1,,1016.8,
2022-02-25 00:00:00,19.5,17.9,22.3,,,,17.3,,1016.4,
2022-02-26 00:00:00,20.3,18,23.8,,,,33.3,,1013.9,
2022-02-27 00:00:00,22,18.5,27.1,,,,26.9,,1009.8,
2022-02-28 00:00:00,20.5,18.3,23.6,,,,17.8,,1011.1,
2022-03-01 00:00:00,19.8,18,23.2,,,,18.7,,1011.4,
2022-03-02 00:00:00,18.8,17.2,21.6,,,,27.2,,1010.6,
2022-03-03 00:00:00,18.2,16.9,20.4,,,,14.6,,1013.9,
2022-03-04 00:00:00,18.7,16.9,21.9,,,,10.8,,1016.3,
