date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,18.6,16.7,21.1,,,,9.3,,1014.7,
2025-01-02 00:00:00,18.9,17.3,21.9,,,,6.8,,1014.8,
2025-01-03 00:00:00,19.5,17.5,22.9,,,,8.4,,1012.9,
2025-01-04 00:00:00,18.8,16.7,21.5,,,,19.3,,1012,
2025-01-05 00:00:00,17.7,16,19.6,,,,8.3,,1012.8,
2025-01-06 00:00:00,18.2,16,21.8,,,,6.3,,1015.5,
2025-01-07 00:00:00,18.4,16.7,21.1,,,,10.4,,1014.8,
2025-01-08 00:00:00,18.6,16.7,21.1,,,,14.3,,1015.2,
2025-01-09 00:00:00,19.2,17,22.8,,,,21.6,,1011.8,
2025-01-10 00:00:00,19.2,17.7,21.6,,,,6.7,,1014.4,
2025-01-11 00:00:00,18.8,17.2,21.2,,,,10.9,,1015.7,
2025-01-12 00:00:00,18.5,16.2,21.4,,,,15.8,,1017.1,
2025-01-13 00:00:00,19.1,15.4,23.7,,,,32.6,,1012.1,
2025-01-14 00:00:00,17.2,15.3,19.1,,,,17.1,,1009.3,
2025-01-15 00:00:00,16.9,14.6,20.1,,,,7.9,,1015.4,
2025-01-16 00:00:00,18,15.3,22.1,,,,18.4,,1015.5,
2025-01-17 00:00:00,19.4,16.2,23.5,,,,20.3,,1013.1,
2025-01-18 00:00:00,19.2,17.6,21.7,,,,6.1,,1013.5,
2025-01-19 00:00:00,18.9,17.1,21.5,,,,19.2,,1014.4,
2025-01-20 00:00:00,19.2,17.5,22.3,,,,13.6,,1018.4,
2025-01-21 00:00:00,19,17.2,21.1,,,,63.9,,1014.4,
2025-01-22 00:00:00,21.2,18.1,25.5,,,,50.1,,1009.6,
2025-01-23 00:00:00,20.4,18.8,23,,,,15.1,,1012.1,
2025-01-24 00:00:00,20.3,17.9,23.3,,,,9.7,,1014.6,
2025-01-25 00:00:00,21,19.5,23.7,,,,11.4,,1014.1,
2025-01-26 00:00:00,21.3,19.5,24.2,,,,8.6,,1016.5,
2025-01-27 00:00:00,18.7,17,20.3,,,,40,,1017.2,
2025-01-28 00:00:00,19.1,16.7,22.1,,,,72.4,,1010.4,
2025-01-29 00:00:00,20.7,18.9,24.3,,,,34.9,,1007.8,
2025-01-30 00:00:00,18.6,16.7,20.5,,,,30.9,,1010.8,
2025-01-31 00:00:00,18,16.1,20.7,,,,21.4,,1013.1,
2025-02-01 00:00:00,19.3,17.3,22.8,,,,8.3,,1013.5,
2025-02-02 00:00:00,19.2,17.2,22.2,,,,12,,1015.7,
2025-02-03 00:00:00,20.1,17.6,23.7,,,,6.1,,1014.7,
2025-02-04 00:00:00,20.2,18.2,23.4,,,,7.2,,1012.4,
2025-02-05 00:00:00,18.8,17,21.8,,,,7.6,,1016.7,
2025-02-06 00:00:00,18.1,16.4,21.2,,,,30,,1016,
2025-02-07 00:00:00,20.7,17,25.8,,,,28.3,,1009.8,
2025-02-08 00:00:00,19.6,17.9,22.6,,,,15.8,,1015.1,
2025-02-09 00:00:00,19.4,17.4,23.5,,,,9.2,,1019.4,
2025-02-10 00:00:00,18.3,16.2,22,,,,27.4,,1016.1,
2025-02-11 00:00:00,18.8,16.5,22.2,,,,39.1,,1012.3,
2025-02-12 00:00:00,19.4,17.1,22.7,,,,22.4,,1009,
2025-02-13 00:00:00,19.2,16.8,23.2,,,,6.4,,1016.6,
2025-02-14 00:00:00,19.1,16.7,22.9,,,,5.8,,1017.9,
2025-02-15 00:00:00,19.6,17.5,23.3,,,,13.2,,1017.2,
2025-02-16 00:00:00,19.8,17.8,23.4,,,,14,,1014.9,
2025-02-17 00:00:00,19.4,17.5,23,,,,16.2,,1012.3,
2025-02-18 00:00:00,19.6,17.6,22.9,,,,17.9,,1014.2,
2025-02-19 00:00:00,19.9,17.1,23.3,,,,68.9,,1013,
2025-02-20 00:00:00,21.8,19.6,25.6,,,,19.8,,1010.2,
2025-02-21 00:00:00,20.2,18.6,22.6,,,,11.4,,1010.4,
2025-02-22 00:00:00,19.1,17.9,21.5,,,,10.5,,1013.5,
2025-02-23 00:00:00,19.6,17.3,23.4,,,,7.4,,1016.9,
2025-02-24 00:00:00,18.9,17.3,22.2,,,,16.3,,1016.6,
2025-02-25 00:00:00,18.3,16.8,20.8,,,,32.5,,1017.5,
2025-02-26 00:00:00,18.5,16.4,21.8,,,,61.3,,1011.9,
2025-02-27 00:00:00,18.2,16.8,20.7,,,,41.3,,1011.5,
2025-02-28 00:00:00,17.9,16.8,19.8,,,,20.7,,1012.4,
2025-03-01 00:00:00,18.8,17.2,21.8,,,,13.4,,1015.3,
2025-03-02 00:00:00,19.2,17.2,21.8,,,,55.1,,1013.4,
2025-03-03 00:00:00,20.3,18.1,23.3,,,,23.6,,1009.5,
2025-03-04 00:00:00,19.3,18.1,21.6,,,,10.3,,1012.7,
2025-03-05 00:00:00,18.9,17.5,21.5,,,,10.2,,1013,
2025-03-06 00:00:00,19.1,17.4,22.1,,,,8.4,,1016.6,
2025-03-07 00:00:00,19,17.6,21.4,,,,20.5,,1016.8,
2025-03-08 00:00:00,19.4,17.4,22.3,,,,19.1,,1011.8,
2025-03-09 00:00:00,18.1,16.8,19.9,,,,15.1,,1014.6,
2025-03-10 00:00:00,17.9,16.3,20.7,,,,7.2,,1021.4,
2025-03-11 00:00:00,18.3,16,21.3,,,,24.9,,1019.4,
2025-03-12 00:00:00,18.5,17,21.4,,,,40.8,,1013.7,
2025-03-13 00:00:00,17.7,16,19.4,,,,69.2,,1011.6,
2025-03-14 00:00:00,18.4,15.6,22.1,,,,74.8,,1011.9,
2025-03-15 00:00:00,19,17.2,22.1,,,,25.2,,1013.9,
2025-03-16 00:00:00,18.3,16.6,20.9,,,,13.1,,1018.3,
2025-03-17 00:00:00,18.1,16.3,21.2,,,,23.7,,1018.3,
2025-03-18 00:00:00,18.7,16,22.1,,,,43.9,,1016.4,
2025-03-19 00:00:00,19.3,17.3,22.4,,,,27.8,,1014.7,
2025-03-20 00:00:00,19.2,17.6,22.6,,,,26.7,,1014.9,
2025-03-21 00:00:00,18.8,17.1,21.2,,,,19.7,,1014.3,
2025-03-22 00:00:00,18.1,16.7,19.3,,,,22.5,,1012,
2025-03-23 00:00:00,17.2,16.2,19.2,,,,22.8,,1013.8,
2025-03-24 00:00:00,17,15.4,18.4,,,,20.4,,1016,
2025-03-25 00:00:00,16.2,14.6,18,,,,31,,1017.7,
2025-03-26 00:00:00,17.3,15.7,20.1,,,,10.7,,1019.2,
2025-03-27 00:00:00,16.7,15.5,18.8,,,,53.2,,1015.5,
2025-03-28 00:00:00,18.3,15.9,21.7,,,,40.9,,1012.4,
2025-03-29 00:00:00,16.8,15.2,18.5,,,,18,,1015.3,
2025-03-30 00:00:00,17.2,15.6,19.5,,,,14.4,,1018.6,
2025-03-31 00:00:00,16.4,15,18.3,,,,22,,1016.4,
