DATE,WEMMERSHOEK_HEIGHT_m_,WEMMERSHOEK_STORAGE_Ml_,WEMMERSHOEK_Current_,WEMMERSHOEK_Last_Year_,STEENBRAS_LOWER_HEIGHT_m_,STEENBRAS_STORAGE__Ml_,STEENBRAS_LOWER_Current__,STEENBRAS_LOWER_Last_Year__,STEENBRAS_UPPER_HEIGHT_m_,STEENBRAS_UPPER_STORAGE_Ml_,STEENBRAS_UPPER_Current__,STEENBRAS_UPPERLast_Year__,VOËLVLEI_HEIGHT__m_,VOËLVLEI_STORAGE__Ml_,VOËLVLEI__Current__,VOËLVLEI_Last_Year_,HELY_HUTCHINSON_HEIGHT_m_,HELY_HUTCHINSON_STORAGE__Ml_,HELY_HUTCHINSON_Current__,HELY_HUTCHINSON_Last_Year_,WOODHEAD_HEIGHT,WOODHEAD_STORAGE_Ml_,WOODHEAD_Current_,WOODHEAD_Last_Year_,VICTORIA_HEIGHT,VICTORIA_STORAGE_Ml_,VICTORIA_Current_,VICTORIALast_Year_,ALEXANDRA_HEIGHT_m_,ALEXANDRA_STORAGE_Ml_,ALEXANDRA_Current_,ALEXANDRA_Last_Year_,DE_VILLIERS_HEIGHT_m_,DE_VILLIERS_STORAGE_Ml_,DE_VILLIERS_Current_,DE_VILLIERS_Last_Year_,KLEINPLAATS_HEIGHT__m_,KLEINPLAATS_STORAGE_Ml_,KLEINPLAATS_Current__,KLEINPLAATS_Last_Year__,LEWIS_GAY_HEIGHT__m_,LEWIS_GAY_STORAGE__Ml_,LEWIS_GAY_Current__,LEWIS_GAY_Last_Year__,THEEWATERSKLOOF_HEIGHT__m_,THEEWATERSKLOOF_STORAGE__Ml_,THEEWATERSKLOOF_Current,THEEWATERSKLOOF_Last_Year__,BERG_RIVER_HEIGHT__m_,BERG_RIVER_STORAGE__Ml_,BERG_RIVER_Current__,BERG_RIVER_Last_Year__,TOTAL_STORED___BIG_6_STORAGE,TOTAL_STORED___BIG_6_Current,TOTAL_STORED___BIG_6_Last_Year,LAND_en_ZEEZICHT_HEIGHT__m_,LAND_en_ZEEZICHT_STORAGE__Ml_,LAND_en_ZEEZICHT_Current__,LAND_en_ZEEZICHT_Last_Year__,TOTAL_STORED___BIG_5_STORAGE,TOTAL_STORED___BIG_5_Current,TOTAL_STORED___BIG_5_Last_Year,ObjectId
20-Oct-10,50.85,51499,87.81631539,99.79708069,19.64,21520,64.20622371,99.4927947,25.18,32253,101.5298895,100.594957,17.65,164122,100.0164539,96.5087297,11.54,420.428,45.46907681,95.76075601,32.26,518.9,54.34076867,78.0605299,2.97,17.842,13.89563863,100.3971963,7.35,38.14,28.41222307,94.60584931,24.7,159.216,65.67151867,91.68051872,8.8,743.8,57.1889897,100,10.44,55.6,33.0952381,108.3333333,26.78,447317,93.15455613,101.7014169,42.04,130220,100.161526,100.161526,846931,94.289824,100.2840058,,,,,,,,5495
12-Dec-10,51.56,53478,91.19091467,94.06418389,19.36,20740,61.87904645,90.16916788,24.64,30826,97.03780653,89.68741146,17.02,154382,94.08086779,94.82555837,0,0,0,94.57370713,34.38,669,70.05969211,74.85600586,0,0.00364,0.002834891,95.80062305,6.37,26.807,19.96975521,77.24191362,23.7,138.661,57.19323717,71.28190956,8.6,704.5,54.1673074,100,9.4,41.5,24.70238095,72.79761905,26.05,412522,85.90843586,98.31482669,40.44,121710,93.6158757,99.66925621,793658,88.35887827,96.98682173,,,,,,,,5496
11-May-11,41.66,30071,51.27719801,48.88991201,16.17,13126,39.16221619,42.60226154,19.97,19955,62.81675953,66.31095162,11.79,81054,49.39455803,58.29428075,8.59,175.942,19.02803884,7.406618317,31.12,449.1,47.03110273,79.4638182,1.46,3.328,2.591900312,0.002834891,8,46.871,34.91634262,44.80996439,20.3,82.338,33.96179721,33.84754355,4.55,168.5,12.95555897,36.53698293,10.22,52.4,31.19047619,22.5,21.94,246510,51.33614334,70.76041051,30.66,74650,57.4186601,91.82370587,465366,51.80974393,68.89573947,,,,,,,,5497
13-Jul-11,47.85,43679,74.4816179,71.41054498,19.86,22147,66.07691619,57.23960975,23.52,27995,88.12604275,82.1859162,15,124244,75.71467747,86.12754807,13.31,637.326,68.92648646,77.07987706,32.11,509.5,53.3563724,39.38632318,4.23,46.322,36.07632399,51.07476636,8.82,60.833,45.31727231,40.87814181,24,144.584,59.63628564,56.80015509,5.9,307.4,23.63524527,51.82223589,12.2,87.2,51.9047619,43.57142857,25.1,369656,76.98151557,87.07631178,37.72,107730,82.8628567,100.5307284,695451,77.4253775,86.5412855,,,,,,,,5498
19-Oct-10,50.83,51445,87.72423436,99.89768774,19.53,21209,63.27833637,100,25.29,32550,102.464822,99.58132653,17.67,164437,100.2084159,96.5087297,11.68,435.408,47.08915628,97.28685356,32.07,507,53.09456488,78.0605299,2.78,15.124,11.7788162,100.3971963,7.33,37.872,28.21257766,95.28002503,24.7,159.216,65.67151867,91.8009594,8.8,743.8,57.1889897,100,10.5,56.5,33.63095238,108.3333333,26.82,449271,93.56148009,101.8084584,42.04,130220,100.161526,100.2076763,849132,94.53486391,100.3375561,,,,,,,,5499
11-Dec-10,51.56,53478,91.19091467,94.35918423,19.39,20822,62.12369842,90.57493212,24.32,30003,94.44706771,89.37576731,17.03,154534,94.17349706,95.10527438,0,0,0,94.74328554,34.6,686.2,71.86092785,74.67797675,0,0.00364,0.002834891,96.18380062,9.4,72.207,53.79028293,77.77380473,23.93,143.184,59.05883032,73.54388454,8.6,704.5,54.1673074,100,9.5,42.7,25.41666667,74.70238095,26.08,413920,86.19957183,98.52453622,40.44,121710,93.6158757,99.66925621,794467,88.44894519,97.17341278,,,,,,,,5500
10-May-11,41.75,30248,51.57901917,46.07291454,16.22,13228,39.46653937,40.88373064,19.91,19840,62.45474864,65.84191142,11.8,81179,49.47073342,57.5739663,8.59,175.942,19.02803884,0,31.2,453.7,47.51282857,76.20693266,1.46,3.328,2.591900312,0.002834891,8,46.871,34.91634262,42.90737347,20.3,82.338,33.96179721,36.07982082,4.55,168.5,12.95555897,37.4442565,10.2,52.1,31.01190476,19.4047619,21.92,245838,51.19619816,69.72414971,30.65,74600,57.38020152,89.64695023,464933,51.76153753,67.63046066,,,,,,,,5501
18-Oct-10,50.81,51391,87.63215333,99.94884387,19.33,20658,61.63439449,100,25.32,32631,102.7198036,99.58132653,17.67,164437,100.2084159,96.5087297,11.9,459.737,49.7203254,97.96516721,31.7,483.8,50.6649911,77.52644256,2.94,17.435,13.57866044,101.152648,7.34,38.006,28.31240036,94.60584931,24.72,159.658,65.85382956,92.04225323,8.8,743.8,57.1889897,100,10.52,56.8,33.80952381,108.3333333,26.82,449271,93.56148009,101.9152915,42.06,130330,100.2461349,100.5307284,848718,94.48877281,100.444768,,,,,,,,5502
12-Jul-11,47.9,43802,74.69135802,71.28435987,19.86,22147,66.07691619,57.3947549,23.61,28218,88.82802909,81.28875877,14.97,123812,75.45141534,85.76068741,13.34,641.484,69.37617207,76.77024505,32.11,509.5,53.3563724,40.22410724,4.23,46.322,36.07632399,50.59968847,8.82,60.833,45.31727231,41.25806404,24,144.584,59.63628564,56.24951019,5.89,306.3,23.55066892,51.55312932,12.22,87.6,52.14285714,44.04761905,25.1,369656,76.98151557,87.07631178,37.95,108900,83.76278748,100.4538112,696535,77.54606049,86.42895234,,,,,,,,5503
10-Dec-10,51.6,53594,91.38871837,94.74967601,19.43,20932,62.45189009,90.98069636,24.54,30567,96.22249504,90.94657978,17.03,154534,94.17349706,95.29236113,0,0,0,95.08244236,34.83,704.3,73.75641428,74.59419835,0,0.00364,0.002834891,96.18380062,9.44,73.038,54.40933268,78.12765387,24.2,148.648,61.31255594,75.42638888,8.6,704.5,54.1673074,100,9.6,44,26.19047619,76.66666667,26.13,416256,86.68604796,98.8398294,40.44,121710,93.6158757,99.66925621,797593,88.79696645,97.47233699,,,,,,,,5504
