date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,19.1,17.2,21.9,,,,15.8,,1017.1,
2019-01-02 00:00:00,16.9,15.9,18.6,,,,48.1,,1019.6,
2019-01-03 00:00:00,18.3,15.1,21.9,,,,56.5,,1014.1,
2019-01-04 00:00:00,19.3,16.8,22.3,,,,22.6,,1014,
2019-01-05 00:00:00,19.3,17.7,21.9,,,,11.1,,1018.1,
2019-01-06 00:00:00,19.3,17.2,22.6,,,,16.8,,1015.8,
2019-01-07 00:00:00,19.1,17.1,22,,,,16.4,,1011.7,
2019-01-08 00:00:00,19.2,17.5,21.6,,,,11.2,,1011.9,
2019-01-09 00:00:00,19,17,22,,,,15.7,,1010.9,
2019-01-10 00:00:00,18.6,16.7,20.9,,,,28.4,,1011.3,
2019-01-11 00:00:00,17.6,15.1,20.8,,,,37.4,,1007.4,
2019-01-12 00:00:00,17.4,14.3,20.9,,,,26.2,,1010,
2019-01-13 00:00:00,18,15.8,20.4,,,,29.9,,1012,
2019-01-14 00:00:00,18.4,15.9,21.3,,,,18.8,,1014.5,
2019-01-15 00:00:00,19.2,16.9,22.6,,,,17,,1016,
2019-01-16 00:00:00,18.9,16.5,21.8,,,,55.8,,1012.2,
2019-01-17 00:00:00,20,17.9,23.6,,,,24,,1010.5,
2019-01-18 00:00:00,16.8,14.9,18.2,,,,26.2,,1014.4,
2019-01-19 00:00:00,17.1,14.5,20.6,,,,12.4,,1023.2,
2019-01-20 00:00:00,18.7,14.3,23.4,,,,33,,1019.3,
2019-01-21 00:00:00,19.4,17.9,21.2,,,,19.7,,1013.8,
2019-01-22 00:00:00,18.5,17.1,20.6,,,,17,,1016.2,
2019-01-23 00:00:00,18.3,16.4,20.6,,,,12.2,,1018.2,
2019-01-24 00:00:00,17.7,16.1,20.3,,,,17.8,,1018.6,
2019-01-25 00:00:00,17.9,15.7,21,,,,23.7,,1017.3,
2019-01-26 00:00:00,19.2,16.5,22.8,,,,53.2,,1015.9,
2019-01-27 00:00:00,19.2,17.4,21.3,,,,57.4,,1014.5,
2019-01-28 00:00:00,20.3,17.4,23.6,,,,60,,1008.7,
2019-01-29 00:00:00,20.1,18.1,22.5,,,,21.1,,1009.7,
2019-01-30 00:00:00,19.9,17.8,23.1,,,,10.2,,1014.9,
2019-01-31 00:00:00,19.2,17.8,21.4,,,,28.2,,1015.4,
2019-02-01 00:00:00,18.7,17,21.2,,,,73.8,,1012.8,
2019-02-02 00:00:00,18.2,16.7,21.1,,,,39.8,,1011.1,
2019-02-03 00:00:00,18.4,17.5,19.7,,,,17.2,,1014.5,
2019-02-04 00:00:00,19.8,17.6,23,,,,11.7,,1018.5,
2019-02-05 00:00:00,20,17.4,23.4,,,,15,,1017.2,
2019-02-06 00:00:00,19,17.4,21.5,,,,44.4,,1013.8,
2019-02-07 00:00:00,21.3,16.9,27.3,,,,43.7,,1007.5,
2019-02-08 00:00:00,20.4,17.5,23.2,,,,14.4,,1012.1,
2019-02-09 00:00:00,19.5,17.9,21.9,,,,19.2,,1012.4,
2019-02-10 00:00:00,18.3,17,20.5,,,,15.9,,1013.6,
2019-02-11 00:00:00,18.8,17.1,22,,,,19.5,,1013.6,
2019-02-12 00:00:00,19,17,22,,,,16.8,,1012.6,
2019-02-13 00:00:00,19.4,17.8,22.1,,,,17.8,,1016.4,
2019-02-14 00:00:00,20.7,17.3,25.2,,,,53.2,,1013,
2019-02-15 00:00:00,20.9,18.6,24.1,,,,20.6,,1011.7,
2019-02-16 00:00:00,19.8,18.6,22,,,,11.3,,1016.3,
2019-02-17 00:00:00,20.2,18.2,23.7,,,,19.7,,1017.2,
2019-02-18 00:00:00,20,17.9,23.2,,,,37,,1014.4,
2019-02-19 00:00:00,19.6,17.6,22.7,,,,34.5,,1010.9,
2019-02-20 00:00:00,20.3,18.5,23.6,,,,10.1,,1015,
2019-02-21 00:00:00,19.1,17.8,21.4,,,,26.2,,1018.4,
2019-02-22 00:00:00,19.8,17.4,23.5,,,,38.8,,1013.3,
2019-02-23 00:00:00,20.2,17.9,23.7,,,,13,,1014.5,
2019-02-24 00:00:00,20.3,18.2,23.5,,,,9.8,,1015,
2019-02-25 00:00:00,19.8,18,22.8,,,,14.9,,1012,
2019-02-26 00:00:00,18,16.3,19.4,,,,17.6,,1013.3,
2019-02-27 00:00:00,17.7,15.8,20.1,,,,14.6,,1017.6,
2019-02-28 00:00:00,18.8,17,21,,,,25.9,,1017,
2019-03-01 00:00:00,19.8,17.9,22.3,,,,10.7,,1017.5,
2019-03-02 00:00:00,19.8,18.3,22.6,,,,13.1,,1016.4,
2019-03-03 00:00:00,19.7,17.5,22.6,,,,11.7,,1015.7,
2019-03-04 00:00:00,18.7,17.2,20.8,,,,16.3,,1016.1,
2019-03-05 00:00:00,18.9,16,22.6,,,,17.7,,1015.4,
2019-03-06 00:00:00,19.2,17.7,21.3,,,,15.1,,1013.8,
2019-03-07 00:00:00,16.8,14.2,18.1,,,,14.8,,1019.4,
2019-03-08 00:00:00,15.6,14.4,17.9,,,,27.5,,1019.1,
2019-03-09 00:00:00,16.3,14.9,18.6,,,,19.6,,1016.3,
2019-03-10 00:00:00,17,15.9,18.7,,,,40.1,,1017.9,
2019-03-11 00:00:00,15.8,14.2,16.8,,,,27.3,,1016.8,
2019-03-12 00:00:00,16.7,15.7,18.5,,,,15,,1014.9,
2019-03-13 00:00:00,17.6,15.9,20.9,,,,14.1,,1016.6,
2019-03-14 00:00:00,18.4,16.7,21.3,,,,27.6,,1017.3,
2019-03-15 00:00:00,19.5,16.7,23.2,,,,55.4,,1012.8,
2019-03-16 00:00:00,19,16.8,22,,,,17.5,,1012.1,
2019-03-17 00:00:00,17.2,15.9,19.6,,,,15.6,,1013.1,
2019-03-18 00:00:00,18.9,17.2,21.9,,,,15.5,,1013.4,
2019-03-19 00:00:00,18.6,17.3,20.6,,,,16.2,,1012.6,
2019-03-20 00:00:00,17.2,14.9,18.8,,,,9.1,,1017.4,
2019-03-21 00:00:00,17.6,14.9,21.5,,,,9.7,,1019.6,
2019-03-22 00:00:00,17.1,15.3,19.6,,,,36.9,,1017.4,
2019-03-23 00:00:00,19.1,16.2,22.3,,,,38.4,,1011.4,
2019-03-24 00:00:00,19.5,17.9,22.1,,,,13.4,,1013.5,
2019-03-25 00:00:00,17.4,15.7,19.5,,,,14.4,,1019.3,
2019-03-26 00:00:00,16.8,15.1,19.4,,,,43.9,,1018.6,
2019-03-27 00:00:00,18.6,16.3,22.1,,,,20.5,,1015.7,
2019-03-28 00:00:00,17.8,16.3,20,,,,21.9,,1019.2,
2019-03-29 00:00:00,18.8,16.8,21.9,,,,14.6,,1017.4,
2019-03-30 00:00:00,18,16.5,20,,,,13,,1017.7,
2019-03-31 00:00:00,16.5,15.1,18.4,,,,14.5,,1017.8,
2019-04-01 00:00:00,15.6,14.2,18.5,,,,12.9,,1023.1,
2019-04-02 00:00:00,15.6,13.4,18.5,,,,50,,1019.2,
2019-04-03 00:00:00,17.5,14.9,20.9,,,,20,,1012.1,
2019-04-04 00:00:00,15.7,14.8,16.6,,,,18.2,,1014.3,
2019-04-05 00:00:00,15.4,14,17.9,,,,18.3,,1021.9,
2019-04-06 00:00:00,16,13.5,19.1,,,,41.5,,1017.4,
2019-04-07 00:00:00,17.2,15.3,19.7,,,,40.2,,1012.2,
2019-04-08 00:00:00,17.1,15.9,18.5,,,,14.1,,1015.9,
2019-04-09 00:00:00,18.2,17.1,20,,,,30,,1015.1,
2019-04-10 00:00:00,18.5,16.3,22.1,,,,19.9,,1013.3,
2019-04-11 00:00:00,17.5,15.6,20.1,,,,12.5,,1015.9,
2019-04-12 00:00:00,17.6,16.1,19.9,,,,13.4,,1014.7,
2019-04-13 00:00:00,16.6,15.1,17.7,,,,12.3,,1014.5,
2019-04-14 00:00:00,14.3,13.3,15.8,,,,15.1,,1017.3,
2019-04-15 00:00:00,14.9,13,17.5,,,,12.8,,1020.6,
2019-04-16 00:00:00,15.2,14.1,17.7,,,,10.3,,1020.8,
2019-04-17 00:00:00,15.2,13.6,18,,,,27.7,,1018.6,
2019-04-18 00:00:00,16.8,13.6,20.1,,,,27.5,,1017,
2019-04-19 00:00:00,17.2,15.3,18.4,,,,24,,1013.1,
2019-04-20 00:00:00,15.5,14.3,17.3,,,,18.8,,1020.6,
2019-04-21 00:00:00,15.1,13.9,17,,,,36.6,,1022.9,
2019-04-22 00:00:00,15.4,13.8,17.6,,,,61.9,,1023.3,
2019-04-23 00:00:00,15.7,14.3,17.9,,,,59,,1020.7,
2019-04-24 00:00:00,16.3,14.6,18.2,,,,39.3,,1017.8,
2019-04-25 00:00:00,17.6,15.8,20.7,,,,13.9,,1016.8,
2019-04-26 00:00:00,17.3,15.8,19.6,,,,10.9,,1018,
2019-04-27 00:00:00,16.8,14.9,19.5,,,,24.7,,1016.2,
2019-04-28 00:00:00,18.6,15.5,22.4,,,,12.9,,1013.9,
2019-04-29 00:00:00,15.9,13.7,18,,,,16.9,,1014.4,
