date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,18.9,16.4,22.3,,,,58.7,,1012.6,
2023-01-02 00:00:00,20.1,17.5,24.2,,,,55.7,,1008.4,
2023-01-03 00:00:00,19.1,17.8,21.1,,,,25.5,,1009.1,
2023-01-04 00:00:00,17.7,15.3,19.3,,,,11.9,,1015.5,
2023-01-05 00:00:00,16.7,15.2,19.6,,,,17,,1021.6,
2023-01-06 00:00:00,18,15.1,22.2,,,,23,,1023.6,
2023-01-07 00:00:00,18.5,15.7,22.3,,,,32.6,,1019.6,
2023-01-08 00:00:00,19.3,16.2,23.5,,,,24.5,,1012.1,
2023-01-09 00:00:00,19.4,17.7,22.1,,,,12.4,,1012.2,
2023-01-10 00:00:00,19.4,17.4,22.3,,,,13.3,,1016.4,
2023-01-11 00:00:00,19.8,17.7,22.9,,,,11.5,,1015.2,
2023-01-12 00:00:00,19.7,17.6,21.7,,,,27.2,,1011.8,
2023-01-13 00:00:00,19.7,17.3,23.3,,,,15.5,,1014.6,
2023-01-14 00:00:00,19.9,17.8,23.6,,,,11.6,,1016.9,
2023-01-15 00:00:00,19.3,17.7,22.1,,,,33,,1015.4,
2023-01-16 00:00:00,19.5,17.4,22.6,,,,53.6,,1011.2,
2023-01-17 00:00:00,20,18,23.1,,,,39.7,,1009.8,
2023-01-18 00:00:00,19.8,18.7,21.4,,,,18.6,,1010.4,
2023-01-19 00:00:00,20,17.8,23.2,,,,15.4,,1013.2,
2023-01-20 00:00:00,20.5,18.3,23.7,,,,10.4,,1012.8,
2023-01-21 00:00:00,20.3,17.7,23.7,,,,15.3,,1011.7,
2023-01-22 00:00:00,20.6,18.1,24.4,,,,11.9,,1012.3,
2023-01-23 00:00:00,19.9,18.2,22.6,,,,18.1,,1008.9,
2023-01-24 00:00:00,17.1,16,18.8,,,,22.4,,1014.6,
2023-01-25 00:00:00,18.1,15.2,21.9,,,,13.2,,1019.8,
2023-01-26 00:00:00,19.3,16.3,23.6,,,,13.6,,1014.6,
2023-01-27 00:00:00,20.1,17.4,24.5,,,,11.5,,1012.2,
2023-01-28 00:00:00,18,16,19.2,,,,16.8,,1015.5,
2023-01-29 00:00:00,17,14.9,19.7,,,,55.6,,1015.7,
2023-01-30 00:00:00,17.9,15.4,21.4,,,,67.1,,1011.5,
2023-01-31 00:00:00,19.1,16,23.2,,,,41.3,,1011.8,
2023-02-01 00:00:00,19.6,17.8,22.3,,,,10.4,,1015.5,
2023-02-02 00:00:00,19.6,17.4,22.8,,,,8.7,,1017.4,
2023-02-03 00:00:00,19.6,16.8,23.6,,,,17.7,,1015.7,
2023-02-04 00:00:00,19.5,16.6,23.2,,,,26.1,,1011.1,
2023-02-05 00:00:00,19.6,17.9,22.3,,,,12.7,,1013.9,
2023-02-06 00:00:00,19.6,17.7,22.5,,,,28.6,,1012,
2023-02-07 00:00:00,19.6,18,22.6,,,,12.7,,1014.6,
2023-02-08 00:00:00,19.5,17.4,22.3,,,,45.8,,1014.2,
2023-02-09 00:00:00,19.9,17.5,23.4,,,,43.4,,1012.1,
2023-02-10 00:00:00,21.2,18,25.3,,,,47.4,,1011.5,
2023-02-11 00:00:00,22.1,19.3,26.8,,,,21.3,,1008.9,
2023-02-12 00:00:00,20.8,19.3,23.5,,,,10.2,,1012.4,
2023-02-13 00:00:00,20.7,18.5,24.7,,,,14.1,,1013.3,
2023-02-14 00:00:00,20.3,18.5,23.6,,,,12.3,,1013.9,
2023-02-15 00:00:00,19.6,18,22.8,,,,13.8,,1012.8,
2023-02-16 00:00:00,18,17,19.4,,,,45.3,,1012.1,
2023-02-17 00:00:00,17.5,16.3,19.4,,,,39.2,,1013.3,
2023-02-18 00:00:00,19.1,16.5,23.3,,,,22.8,,1012.9,
2023-02-19 00:00:00,19,17,22.1,,,,21.1,,1006.8,
2023-02-20 00:00:00,15.5,14.4,16.8,,,,29.8,,1004.6,
2023-02-21 00:00:00,16.7,14.4,19.8,,,,14.3,,1017.9,
2023-02-22 00:00:00,18.7,15.6,23.3,,,,12.1,,1019.1,
2023-02-23 00:00:00,19.4,16.6,23.9,,,,18.6,,1015.6,
2023-02-24 00:00:00,19.7,18,22.6,,,,9.1,,1016.2,
2023-02-25 00:00:00,19,17.1,22.9,,,,10,,1018.9,
2023-02-26 00:00:00,18.4,15.8,22.2,,,,33.6,,1017.2,
2023-02-27 00:00:00,18.6,16.4,21.8,,,,31.5,,1016.4,
2023-02-28 00:00:00,19.1,17,22.8,,,,21.6,,1016.2,
2023-03-01 00:00:00,19.1,16.9,22.5,,,,22.8,,1015.7,
2023-03-02 00:00:00,20.4,17.6,25.2,,,,29,,1011.3,
2023-03-03 00:00:00,19,17.4,20.9,,,,13.2,,1012.7,
2023-03-04 00:00:00,19.3,17.8,22.2,,,,12.6,,1012.8,
2023-03-05 00:00:00,17.1,16.3,18.1,,,,13.4,,1013.4,
2023-03-06 00:00:00,16.7,15.6,18,,,,20.9,,1018.9,
2023-03-07 00:00:00,17.2,15.6,19.4,,,,54.5,,1010.9,
2023-03-08 00:00:00,17,14.7,19.4,,,,22.4,,1010,
2023-03-09 00:00:00,16.7,15.2,19.2,,,,21.8,,1013.3,
2023-03-10 00:00:00,17.2,15.1,20.4,,,,20.8,,1012.3,
2023-03-11 00:00:00,16.7,15.3,19.2,,,,18.6,,1016.5,
2023-03-12 00:00:00,16.8,14.2,20.8,,,,30,,1018.1,
2023-03-13 00:00:00,18.4,15.8,22.2,,,,20.1,,1014.7,
2023-03-14 00:00:00,18.9,17,22.2,,,,27.7,,1014.4,
2023-03-15 00:00:00,18.7,17.8,20.2,,,,64.1,,1013,
2023-03-16 00:00:00,21.1,17.3,25.7,,,,28.5,,1007.9,
2023-03-17 00:00:00,18.8,15.9,20.7,,,,23.9,,1008.5,
2023-03-18 00:00:00,17.3,15.9,19.4,,,,26.5,,1011.4,
2023-03-19 00:00:00,17.5,15.5,20.4,,,,23.1,,1010.2,
2023-03-20 00:00:00,16.1,14.8,17.6,,,,38.8,,1009.9,
2023-03-21 00:00:00,16.8,15,19.1,,,,24.4,,1016,
2023-03-22 00:00:00,17.8,16.1,20.1,,,,21.9,,1014.2,
2023-03-23 00:00:00,17.8,16.3,19.5,,,,74.1,,1010.4,
2023-03-24 00:00:00,17.3,16.3,19.2,,,,25.5,,1011.7,
2023-03-25 00:00:00,16.8,15.6,18.4,,,,32.9,,1012.3,
2023-03-26 00:00:00,16.8,14.3,20,,,,22,,1020.8,
2023-03-27 00:00:00,17.8,13.1,22.9,,,,31.4,,1017.2,
2023-03-28 00:00:00,18.2,15.9,20.4,,,,9.7,,1014.1,
2023-03-29 00:00:00,15.9,14.4,18.7,,,,6.4,,1020.1,
2023-03-30 00:00:00,16.6,14.7,19.8,,,,7.8,,1021.1,
2023-03-31 00:00:00,17.5,14.9,21.5,,,,14.3,,1018.4,
2023-04-01 00:00:00,17.2,15.1,20,,,,36,,1015.2,
2023-04-02 00:00:00,17.1,15,20,,,,19,,1014,
2023-04-03 00:00:00,17.3,15.6,20,,,,13.1,,1018,
2023-04-04 00:00:00,17.5,15.5,20.9,,,,10.7,,1019.5,
2023-04-05 00:00:00,19.2,15.9,23.6,,,,21.6,,1015.4,
2023-04-06 00:00:00,20.1,17.6,22.2,,,,14,,1010.7,
2023-04-07 00:00:00,15.8,14.1,16.7,,,,13.9,,1013.7,
2023-04-08 00:00:00,14.7,12.9,17.2,,,,7.2,,1018.3,
