,,,Fm (Frontier Markets) (Close),Fm (Frontier Markets) (Annualised Volatility Close),Fm (Frontier Markets) (Volume),Em/Reits (Close),Em/Reits (Annualised Volatility Close),Em/Reits (Volume),Bric Growth (Close),Bric Growth (Annualised Volatility Close),Bric Growth (Volume),Bric Value (Close),Bric Value (Annualised Volatility Close),Bric Value (Volume),Em Equal Weighted (Close),Em Equal Weighted (Annualised Volatility Close),Em Equal Weighted (Volume),Em (Emerging Markets) Growth (Close),Em (Emerging Markets) Growth (Annualised Volatility Close),Em (Emerging Markets) Growth (Volume),Em (Emerging Markets) Value (Close),Em (Emerging Markets) Value (Annualised Volatility Close),Em (Emerging Markets) Value (Volume),Ftse/Jse Shareholder Weighted All Share Net (Close),Ftse/Jse Shareholder Weighted All Share Net (Annualised Volatility Close),Ftse/Jse Shareholder Weighted All Share Net (Volume),Ftse/Jse Shareholder Weighted All Share Net (TRI),South Africa (Close),South Africa (Annualised Volatility Close),South Africa (Volume),Sa Volatility Index (Close),Sa Volatility Index (Annualised Volatility Close),Sa Volatility Index (Volume),Sa Volatility Index (TRI),Ftse/Jse Growth (Close),Ftse/Jse Growth (Annualised Volatility Close),Ftse/Jse Growth (Volume),Ftse/Jse Growth (TRI),Ftse/Jse Value (Close),Ftse/Jse Value (Annualised Volatility Close),Ftse/Jse Value (Volume),Ftse/Jse Value (TRI),Ftse/Jse All Share (Close),Ftse/Jse All Share (Annualised Volatility Close),Ftse/Jse All Share (Volume),Ftse/Jse All Share (TRI),Em (Emerging Markets) (Close),Em (Emerging Markets) (Annualised Volatility Close),Em (Emerging Markets) (Volume),Bric (Close),Bric (Annualised Volatility Close),Bric (Volume),Acwi (Close),Acwi (Annualised Volatility Close),Acwi (Volume)
8,,42764,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,,42763,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,,42762,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11621.23,16.0339,244394246,18309.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,604.27,14.6651,158838887,881.6,369.64,20.1273,160282828,630.84,52973.83,15.9869,230571762,7312.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,,42761,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11755.06,16.0166,270852686,18520.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,608.32,14.6704,158560137,887.52,373.85,20.0994,179717729,638.03,53405.74,15.9829,255888594,7372.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,,42760,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11696.01,16.0231,240341889,18427.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,606.42,14.6711,166505316,884.75,372.95,20.1369,153053394,636.48,53250.79,15.9936,231166087,7351.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,,42759,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11714.42,16.0475,286894252,18450.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,607.36,14.7094,162589324,885.84,373.73,20.1544,177128823,637.71,53342.04,16.0234,257433565,7361.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,,42758,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11655.13,16.0416,203425445,18357.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,604.29,14.7021,131398427,881.35,371.12,20.1459,135163410,633.26,53040.48,16.0149,188164793,7320.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15,,42757,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,,42756,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,,42755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11546.7,16.3083,198924119,18186.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,599.78,14.8927,129631265,874.77,365.81,20.4481,114418513,624.2,52532.26,16.2495,179527703,7250.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
